City_ID,City,Country,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Walvis Bay,NA,-22.9575,14.5053,70.75,73,100,11.5,overcast clouds
313,Ust-Kut,RU,56.7938,105.7672,-13.97,91,100,9.53,overcast clouds
314,Hofn,IS,64.2539,-15.2082,33.82,55,0,4.61,clear sky
315,Talnakh,RU,69.4865,88.3972,-32.8,98,100,6.29,overcast clouds
316,Lakatoro,VU,-16.0999,167.4164,78.06,73,46,3.69,scattered clouds
317,Baykit,RU,61.67,96.37,-25.62,97,100,4.34,overcast clouds
318,Highland Springs,US,37.546,-77.3278,47.25,66,100,8.05,overcast clouds
319,Konya,TR,38.1667,32.5,42.28,85,100,18.43,overcast clouds
320,Kushmurun,KZ,52.4503,64.6311,-6.93,96,14,6.51,few clouds
321,El Mante,MX,22.7333,-98.9667,85.33,41,0,9.01,clear sky
322,Farafangana,MG,-22.8167,47.8333,74.93,86,100,4.14,light rain
323,Kirsanov,RU,52.6549,42.7224,5.05,76,100,13.47,overcast clouds
324,Talipparamba,IN,12.05,75.35,66.67,69,5,3.76,clear sky
325,Lagoa,PT,39.05,-27.9833,59.88,77,100,15.23,overcast clouds
326,Kailua,US,21.4022,-157.7394,78.06,81,75,5.75,broken clouds
327,Hambantota,LK,6.1241,81.1185,70.14,100,20,2.3,few clouds
328,Codrington,AU,-38.2667,141.9667,58.37,95,37,6.44,scattered clouds
329,Chicama,PE,-7.8447,-79.1469,72.14,55,72,12.28,broken clouds
330,Dunedin,NZ,-45.8742,170.5036,53.47,85,100,12.12,overcast clouds
331,Urumqi,CN,43.801,87.6005,7.75,85,100,4.47,mist
332,Wajima,JP,37.4,136.9,48.11,71,84,15.23,broken clouds
333,Eyl,SO,7.9803,49.8164,75.74,80,30,18.5,scattered clouds
334,Atbasar,KZ,51.8,68.3333,-10.17,100,89,8.81,overcast clouds
335,Kingman,US,35.1894,-114.053,52.75,56,0,3.44,clear sky
336,Tignere,CM,7.3667,12.65,67.42,24,7,3.0,clear sky
337,Darhan,MN,49.4867,105.9228,6.75,92,100,11.86,overcast clouds
338,Novyy Urgal,RU,51.0736,132.5642,-7.53,100,100,2.1,overcast clouds
339,Izvestkovyy,RU,48.9833,131.55,4.62,99,100,2.98,overcast clouds
340,Concarneau,FR,47.875,-3.9225,52.59,82,85,21.68,overcast clouds
341,Mayo,US,38.8876,-76.5119,46.18,67,0,9.22,haze
342,Sfantu Gheorghe,RO,45.8667,25.7833,36.93,84,100,3.74,overcast clouds
343,Haines Junction,CA,60.7522,-137.5108,0.63,98,100,0.72,overcast clouds
344,Lazaro Cardenas,MX,17.9583,-102.2,82.35,59,0,7.61,clear sky
