City_ID,City,Country,Date,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Aqtobe,KZ,2022-12-07 17:16:01,50.2797,57.2072,-3.91,84,0,0.0
275,Los Llanos De Aridane,ES,2022-12-07 17:16:02,28.6585,-17.9182,67.75,99,75,4.61
276,Mahebourg,MU,2022-12-07 17:12:46,-20.4081,57.7,77.29,83,75,12.66
277,Hami,CN,2022-12-07 17:16:03,42.8,93.45,23.36,49,44,3.27
278,Dunedin,NZ,2022-12-07 17:13:04,-45.8742,170.5036,53.8,77,100,13.0
279,Karratha,AU,2022-12-07 17:17:04,-20.7377,116.8463,78.84,61,0,19.01
280,Ayan,RU,2022-12-07 17:17:04,56.45,138.1667,-4.7,70,75,9.66
281,Nhulunbuy,AU,2022-12-07 17:17:05,-12.2333,136.7667,75.81,88,97,1.14
282,Kudahuvadhoo,MV,2022-12-07 17:17:05,2.6708,72.8944,81.03,81,96,8.3
283,Port Blair,IN,2022-12-07 17:17:06,11.6667,92.75,80.64,83,75,2.3
284,Aurad,IN,2022-12-07 17:17:06,18.25,77.4333,65.07,63,55,5.68
285,Saint Paul,US,2022-12-07 17:13:44,44.9444,-93.0933,18.88,78,100,16.11
286,Half Moon Bay,US,2022-12-07 17:13:59,37.4636,-122.4286,51.22,92,20,0.0
287,Saldanha,ZA,2022-12-07 17:17:07,-33.0117,17.9442,65.39,81,0,14.2
288,Ahipara,NZ,2022-12-07 17:17:07,-35.1667,173.1667,60.98,82,93,17.34
289,Atikokan,CA,2022-12-07 17:17:08,48.7555,-91.6216,-1.61,70,72,4.25
290,Papara,BR,2022-12-07 17:17:08,-3.9839,-38.7273,86.4,37,11,14.94
291,Zhaotong,CN,2022-12-07 17:17:09,27.3167,103.7167,36.66,85,80,5.66
292,Vila Franca Do Campo,PT,2022-12-07 17:17:10,37.7167,-25.4333,59.41,77,87,24.96
293,Abay,KZ,2022-12-07 17:17:11,49.6311,72.8539,-16.22,97,17,4.32
